time;model_id;model_name;port_name;data
242.286;1;blinky;;Status:, 1, sigma: 0.75
243.036;1;blinky;out;1
243.036;1;blinky;;Status:, 0, sigma: 0.75
243.786;1;blinky;out;0
243.786;1;blinky;;Status:, 1, sigma: 0.75
244.362;1;blinky;;Status:, 1, sigma: 3
244.362;2;generator;out;0
244.362;2;generator;;Status:, 0
247.362;1;blinky;out;1
247.362;1;blinky;;Status:, 0, sigma: 3
250.362;1;blinky;out;0
250.362;1;blinky;;Status:, 1, sigma: 3
253.362;1;blinky;out;1
253.362;1;blinky;;Status:, 0, sigma: 3
256.362;1;blinky;out;0
256.362;1;blinky;;Status:, 1, sigma: 3
259.362;1;blinky;out;1
259.362;1;blinky;;Status:, 0, sigma: 3
259.649;1;blinky;;Status:, 0, sigma: 0.75
259.649;2;generator;out;0
259.649;2;generator;;Status:, 0
260.399;1;blinky;out;0
260.399;1;blinky;;Status:, 1, sigma: 0.75
261.149;1;blinky;out;1
261.149;1;blinky;;Status:, 0, sigma: 0.75
261.899;1;blinky;out;0
261.899;1;blinky;;Status:, 1, sigma: 0.75
262.649;1;blinky;out;1
262.649;1;blinky;;Status:, 0, sigma: 0.75
263.399;1;blinky;out;0
263.399;1;blinky;;Status:, 1, sigma: 0.75
264.149;1;blinky;out;1
264.149;1;blinky;;Status:, 0, sigma: 0.75
264.899;1;blinky;out;0
264.899;1;blinky;;Status:, 1, sigma: 0.75
265.649;1;blinky;out;1
265.649;1;blinky;;Status:, 0, sigma: 0.75
266.399;1;blinky;out;0
266.399;1;blinky;;Status:, 1, sigma: 0.75
267.149;1;blinky;out;1
267.149;1;blinky;;Status:, 0, sigma: 0.75
267.899;1;blinky;out;0
267.899;1;blinky;;Status:, 1, sigma: 0.75
268.649;1;blinky;out;1
268.649;1;blinky;;Status:, 0, sigma: 0.75
269.399;1;blinky;out;0
269.399;1;blinky;;Status:, 1, sigma: 0.75
270.149;1;blinky;out;1
270.149;1;blinky;;Status:, 0, sigma: 0.75
270.899;1;blinky;out;0
270.899;1;blinky;;Status:, 1, sigma: 0.75
271.649;1;blinky;out;1
271.649;1;blinky;;Status:, 0, sigma: 0.75
272.399;1;blinky;out;0
272.399;1;blinky;;Status:, 1, sigma: 0.75
272.505;1;blinky;;Status:, 1, sigma: 3
272.505;2;generator;out;0
272.505;2;generator;;Status:, 0
275.505;1;blinky;out;1
275.505;1;blinky;;Status:, 0, sigma: 3
278.505;1;blinky;out;0
278.505;1;blinky;;Status:, 1, sigma: 3
281.505;1;blinky;out;1
281.505;1;blinky;;Status:, 0, sigma: 3
283.2;1;blinky;;Status:, 0, sigma: 0.75
283.2;2;generator;out;0
283.2;2;generator;;Status:, 0
283.95;1;blinky;out;0
283.95;1;blinky;;Status:, 1, sigma: 0.75
284.7;1;blinky;out;1
284.7;1;blinky;;Status:, 0, sigma: 0.75
285.45;1;blinky;out;0
285.45;1;blinky;;Status:, 1, sigma: 0.75
286.2;1;blinky;out;1
286.2;1;blinky;;Status:, 0, sigma: 0.75
286.95;1;blinky;out;0
